resp_ID,t_start,t_end,Status,p_ID,unique_qu_ID,erase,condition,exposure,room,view_access,exp_duration_original,exp_duration,light_level_sensation,visual_comfort,glare_Osterhaus,glare_binary,glare_branch_accept,glare_likert4,glare_reflection_screen_likert4,glare_agreement5,colors_outside_agreement5,view_satisfaction_interval10__5only,work_all_day_changes__30only,work_all_day_changes_WHAT,work_all_day_changes_WHY
159,25.06.21 15:16,25.06.21 15:22,Complete,337,337_NG_1_Clear_q2,keep,NG,Exposure 1,BP 2243 (end of the corridor),yes,About 30 minutes,30min,Slightly low,Comfortable,Noticeable,Yes,Acceptable,Slightly,Not at all,Agree,Strongly agree,NA,"Yes, I would like the following changes:",open the window,have more air
161,25.06.21 15:36,25.06.21 15:40,Complete,337,337_NG_2_Blurr_q1,keep,NG,Exposure 2,BP 2229 (center of the building),no,About 5 minutes,05min,Slightly low,Comfortable,Imperceptible,No,NA,Not at all,Not at all,Neither agree nor disagree,Neither agree nor disagree,1,NA,NA,NA
163,25.06.21 15:56,25.06.21 16:03,Complete,337,337_NG_2_Blurr_q2,keep,NG,Exposure 2,BP 2229 (center of the building),no,About 30 minutes,30min,Slightly high,Comfortable,Imperceptible,No,NA,Not at all,Not at all,Agree,Disagree,NA,"Yes, I would like the following changes:",more light and view to the outside,because i feel stuck if i cant see the outside
156,25.06.21 14:40,25.06.21 14:52,Complete,338,338_NG_1_Blurr_q1,keep,NG,Exposure 1,BP 2229 (center of the building),no,About 5 minutes,05min,Just right,Comfortable,Noticeable,No,NA,Slightly,Not at all,Neither agree nor disagree,Agree,8,NA,NA,NA
158,25.06.21 15:12,25.06.21 15:22,Complete,338,338_NG_1_Blurr_q2,keep,NG,Exposure 1,BP 2229 (center of the building),no,About 30 minutes,30min,Slightly low,Comfortable,Noticeable,No,NA,Slightly,Not at all,Agree,Agree,NA,"Yes, I would like the following changes:",To take off the shadow that does not allow me to see the view.,"So that I can see what is happening outside, beacause seeing the white shadow is a bit uncomfortable"
160,25.06.21 15:34,25.06.21 15:37,Complete,338,338_NG_2_Clear_q1,keep,NG,Exposure 2,BP 2243 (end of the corridor),yes,About 5 minutes,05min,Just right,Comfortable,Noticeable,Yes,Just acceptable,Slightly,Not at all,Disagree,Agree,10,NA,NA,NA
162,25.06.21 15:53,25.06.21 16:01,Complete,338,338_NG_2_Clear_q2,keep,NG,Exposure 2,BP 2243 (end of the corridor),yes,About 30 minutes,30min,Just right,Comfortable,Noticeable,No,NA,Slightly,Not at all,Agree,Agree,NA,"Yes, I would like the following changes:",cover all the window,so that i dont see the difference in light
164,28.06.21 14:48,28.06.21 14:52,Complete,339,339_NG_1_Blurr_q1,keep,NG,Exposure 1,BP 2229 (center of the building),no,About 5 minutes,05min,Just right,Comfortable,Noticeable,No,NA,Slightly,Not at all,Neither agree nor disagree,Agree,7,NA,NA,NA
167,28.06.21 15:13,28.06.21 15:22,Complete,339,339_NG_1_Blurr_q2,keep,NG,Exposure 1,BP 2229 (center of the building),no,About 30 minutes,30min,Just right,Comfortable,Imperceptible,No,NA,Not at all,Not at all,Agree,Agree,NA,"Yes, I would like the following changes:",bigger room,i prefer to have a view on the outside other than just the sky and a bigger space
168,28.06.21 15:37,28.06.21 15:40,Complete,339,339_NG_2_Clear_q1,keep,NG,Exposure 2,BP 2243 (end of the corridor),yes,About 5 minutes,05min,Slightly low,Comfortable,Imperceptible,No,NA,Not at all,Not at all,Agree,Agree,7,NA,NA,NA
170,28.06.21 15:56,28.06.21 16:03,Complete,339,339_NG_2_Clear_q2,keep,NG,Exposure 2,BP 2243 (end of the corridor),yes,About 30 minutes,30min,Slightly low,Comfortable,Imperceptible,No,NA,Not at all,Not at all,Agree,Agree,NA,I have no preference,NA,NA
165,28.06.21 14:50,28.06.21 14:55,Complete,340,340_NG_1_Clear_q1,keep,NG,Exposure 1,BP 2243 (end of the corridor),yes,About 5 minutes,05min,Slightly high,Comfortable,Noticeable,No,NA,Slightly,Slightly,Agree,Disagree,8,NA,NA,NA
166,28.06.21 15:17,28.06.21 15:23,Complete,340,340_NG_1_Clear_q2,keep,NG,Exposure 1,BP 2243 (end of the corridor),yes,About 30 minutes,30min,Low,Uncomfortable,Noticeable,Yes,Just unacceptable,Moderately,Moderately,Disagree,Disagree,NA,"Yes, I would like the following changes:",something is wrong with teh colours outside,REMOVE THE BLACK WINDOWS... Thank you
169,28.06.21 15:38,28.06.21 15:42,Complete,340,340_NG_2_Blurr_q1,keep,NG,Exposure 2,BP 2229 (center of the building),no,About 5 minutes,05min,Low,Uncomfortable,Noticeable,Yes,Just acceptable,Slightly,Slightly,Disagree,Disagree,0,NA,NA,NA
171,28.06.21 16:00,28.06.21 16:08,Complete,340,340_NG_2_Blurr_q2,keep,NG,Exposure 2,BP 2229 (center of the building),no,About 30 minutes,30min,Low,Uncomfortable,Noticeable,Yes,Just acceptable,Slightly,Slightly,Disagree,Strongly disagree,NA,"Yes, I would like the following changes:",remove these awkward glasses,yes
172,29.06.21 15:26,29.06.21 15:30,Complete,341,341_NG_1_Blurr_q1,keep,NG,Exposure 1,BP 2229 (center of the building),no,About 5 minutes,05min,Just right,Comfortable,Noticeable,Yes,Just acceptable,Moderately,Not at all,Strongly disagree,Agree,1,NA,NA,NA
174,29.06.21 15:51,29.06.21 15:59,Complete,341,341_NG_1_Blurr_q2,keep,NG,Exposure 1,BP 2229 (center of the building),no,About 30 minutes,30min,High,Uncomfortable,Disturbing,Yes,Just unacceptable,Moderately,Not at all,Disagree,Neither agree nor disagree,NA,"Yes, I would like the following changes:",face a wall instead of the sun,Having the sun behind a somewhat dim screen makes my eyes strain
176,29.06.21 16:14,29.06.21 16:17,Complete,341,341_NG_2_Clear_q1,keep,NG,Exposure 2,BP 2243 (end of the corridor),yes,About 5 minutes,05min,Just right,Comfortable,Noticeable,Yes,Acceptable,Slightly,Not at all,Agree,Agree,7,NA,NA,NA
178,29.06.21 16:35,29.06.21 16:44,Complete,341,341_NG_2_Clear_q2,keep,NG,Exposure 2,BP 2243 (end of the corridor),yes,About 30 minutes,30min,Very high,Comfortable,Disturbing,Yes,Just acceptable,Moderately,Slightly,Disagree,Strongly agree,NA,"Yes, I would like the following changes:",put the table against a wall instead,to avoid sun in eyes
173,29.06.21 15:30,29.06.21 15:35,Complete,342,342_NG_1_Clear_q1,keep,NG,Exposure 1,BP 2243 (end of the corridor),yes,About 5 minutes,05min,Just right,Very comfortable,Noticeable,No,NA,Moderately,Not at all,Disagree,Strongly agree,9,NA,NA,NA
175,29.06.21 15:53,29.06.21 16:01,Complete,342,342_NG_1_Clear_q2,keep,NG,Exposure 1,BP 2243 (end of the corridor),yes,About 30 minutes,30min,Just right,Comfortable,Noticeable,Yes,Acceptable,Slightly,Slightly,Agree,Strongly agree,NA,"No, I am comfortable and do not require changes",NA,NA
177,29.06.21 16:03,29.06.21 16:19,Complete,342,342_NG_2_Blurr_q1,keep,NG,Exposure 2,BP 2229 (center of the building),no,About 5 minutes,05min,Slightly low,Comfortable,Disturbing,No,NA,Moderately,Not at all,Disagree,Strongly agree,5,NA,NA,NA
